PS C:\Users\danib\Desktop\Windows\RAM> vol -f .\memdump.mem windows.getservicesids.GetServiceSIDs
Volatility 3 Framework 2.26.2
Progress:  100.00               PDB scanning finished
SID     Service
S-1-5-80-1543189782-2596160705-3795570588-3168413527-2925017820 AppvVfs
S-1-5-80-1949724575-2387902436-65106593-1201171665-3967308604   AppXSvc
S-1-5-80-3169285310-278349998-1452333686-3865143136-4212226833  autotimesvc
S-1-5-80-286416697-2074333985-3953926783-2730543180-4207904231  bam
S-1-5-80-2025233850-3714960172-3834018148-2523054830-2209135241 BasicDisplay
S-1-5-80-4178409850-1580268469-397489987-3195816699-129657517   BasicRender
S-1-5-80-856979437-3912875207-2720685236-703935298-3759072829   bcmfn2
S-1-5-80-452596792-1687084015-1524560665-2338923152-3709444819  bfs
S-1-5-80-3451400966-3703281935-2685268016-3285412533-1470843506 bindflt
S-1-5-80-2033999825-3741098712-1851668902-216055579-943193379   BluetoothUserService
S-1-5-80-2341397846-725439738-3742851981-3596526650-1947053423  BluetoothUserService_42062
S-1-5-80-1988685059-1921232356-378231328-2704142597-890457928   BrokerInfrastructure
S-1-5-80-3316959809-2577409367-488518535-1805171532-1438653141  BTAGService
S-1-5-80-3397485379-1673558126-3852117732-4170930301-4011713027 BthA2dp
S-1-5-80-1264790548-4164306546-4160824920-750804445-3452039388  BthAvctpSvc
S-1-5-80-3742302039-178175996-3312716580-300089339-184318439    BthEnum
S-1-5-80-4190030514-1955060627-1650410980-2059579884-2945205035 BthHFEnum
S-1-5-80-2319449347-3660344761-1621844049-61588942-3837794983   BthLEEnum
S-1-5-80-411364929-2494992265-235336807-3339216277-1376253409   BthMini
S-1-5-80-3533787624-3536623824-1878644040-3113243162-1610647180 BTHUSB
S-1-5-80-1102738-1048517740-3681369803-3100335448-3129350187    bttflt
S-1-5-80-4235005237-3293881321-902755294-2421876860-1688724929  buttonconverter
S-1-5-80-3988044632-483646655-3689529973-3635425272-2751329168  CAD
S-1-5-80-3369530244-1263555520-1552818992-544823788-1590281562  camsvc
S-1-5-80-2195691530-3564058219-2185687823-1858318469-3207429352 CaptureService
S-1-5-80-545218245-1567643453-2554170412-972890700-1627668277   CaptureService_42062
S-1-5-80-546976454-1426073922-427304975-3694345144-4147405473   cbdhsvc
S-1-5-80-2112853132-1214332791-3852584993-211486846-2032897424  cbdhsvc_42062
S-1-5-80-3433512109-503559027-1389316256-1766580070-2256751264  CDPSvc
S-1-5-80-1260278928-804197538-2066346633-4268302704-2216462912  CDPUserSvc
S-1-5-80-4149893812-1934543198-455188063-2419870538-2166785439  CDPUserSvc_42062
S-1-5-80-1055174906-2416269421-2304048803-1043379310-100576628  cht4iscsi
S-1-5-80-867907225-1838866732-3207111219-3362010221-3938223369  cht4vbd
S-1-5-80-1592074278-3653508928-2768813056-1918619345-1433065180 CimFS
S-1-5-80-1404165011-2000956283-1442398411-3799073753-1383434776 CldFlt
S-1-5-80-65843127-2189646064-2697706863-2125155322-3141006483   ClipSVC
S-1-5-80-2119957892-4152124429-3625998117-4006912763-1737903618 cloudidsvc
S-1-5-80-2611951811-1959136347-1062071333-3982815153-2811717512 clr_optimization_v4.0.30319_32
S-1-5-80-2839768381-3691089589-2614646340-3191585287-3380622033 clr_optimization_v4.0.30319_64
S-1-5-80-4162882437-1505926369-3203888135-2472178355-2995762856 cnghwassist
S-1-5-80-1796617447-2916456010-10894564-1845345233-3515002435   condrv
S-1-5-80-3749766068-1582991359-4182444126-1144602875-625653745  ConsentUxUserSvc
S-1-5-80-4031991455-2111985505-3897748976-2279952182-4090379949 ConsentUxUserSvc_42062
S-1-5-80-1021139062-1866602279-1255292388-1008060685-2498416891 CoreMessagingRegistrar
S-1-5-80-109488485-4147369969-3056774085-3969564951-1913080067  CoreUI
S-1-5-80-2720979471-2110640377-1938553337-2954392914-939353058  CredentialEnrollmentManagerUserSvc
S-1-5-80-2090063862-3893975454-386197027-1096895639-1086598644  CredentialEnrollmentManagerUserSvc_42062
S-1-5-80-3427364867-2348656012-3079877547-1505400018-1601214341 dam
S-1-5-80-1436340521-1614496842-1630426791-3450112370-1043762698 dcpsvc
S-1-5-80-2667170245-2239725068-1742831399-533342241-2651120191  dcsvc
S-1-5-80-1692619910-1358769708-3047346990-2477994898-1876611151 DeviceAssociationBrokerSvc
S-1-5-80-227955603-3996027062-812401410-1643982787-1030195773   DeviceAssociationBrokerSvc_42062
S-1-5-80-2536636004-4072673470-1048721469-2703517266-1433793019 DeviceAssociationService
S-1-5-80-2659457741-469498900-3203170401-3149177360-3048467625  DeviceInstall
S-1-5-80-3981010603-2563310902-4138807455-2513867770-1689624316 DevicePickerUserSvc
S-1-5-80-3499330540-1138015611-4252701750-2714584441-916699196  DevicePickerUserSvc_42062
S-1-5-80-1731526583-713188386-1588570932-65458670-665563417     DevicesFlowUserSvc
S-1-5-80-1363331408-1241765785-3400114804-421230949-1401812087  DevicesFlowUserSvc_42062
S-1-5-80-1646229720-1474186231-1049421145-3719583575-3014288788 DevQueryBroker
S-1-5-80-3837255464-839197112-3211601036-3795322556-2690640524  Dfsc
S-1-5-80-3427281794-3208260282-895156161-4152208786-3156774898  diagnosticshub.standardcollector.service
S-1-5-80-2291377395-3838044599-2142290114-2473825573-3813973113 diagsvc
S-1-5-80-2620808479-2171380039-3191355562-2070425692-3097948119 DiagTrack
S-1-5-80-1827140278-1118305254-4004251663-1512899043-4081885502 disk
S-1-5-80-4171086659-1617898341-2870161492-1466607281-2109097600 DispBrokerDesktopSvc
S-1-5-80-3914275374-678031271-1603343729-3906112567-2888048264  DisplayEnhancementService
S-1-5-80-538170410-2190149038-799223143-2506663053-4165713448   DmEnrollmentSvc
S-1-5-80-2597136289-665204401-1725106016-1253143166-1853691573  dmvsc
S-1-5-80-3841379657-834162867-3056945855-2577476187-70241904    dmwappushservice
S-1-5-80-3055155277-3816794035-3994065555-2874236192-2193176987 DoSvc
S-1-5-80-286057374-2594772386-1471686342-3682429118-820474675   DsmSvc
S-1-5-80-1551822644-3134808374-1042292604-2865742758-3851661496 DsSvc
S-1-5-80-4071458001-3563271761-1846288968-3700919931-3809667977 DusmSvc
S-1-5-80-254933805-2734090534-3104540875-726012595-3448897423   e1i68x64
S-1-5-80-884067958-428086535-3372728085-968673673-3084386054    ebdrv0
S-1-5-80-263376457-2115425240-177348680-1339839713-3837480443   edgeupdate
S-1-5-80-605514040-344704999-4120406818-2499438505-150840210    edgeupdatem
S-1-5-80-2169634130-1039499152-2857656644-2663134321-2733247747 EhStorClass
S-1-5-80-286318078-2644501994-4034150745-2802514947-3987682007  EhStorTcgDrv
S-1-5-80-197064213-1107091946-1970926662-1288706631-716503202   embeddedmode
S-1-5-80-2744483880-3889877944-846434063-3461941807-3140553215  EntAppSvc
S-1-5-80-880578595-1860270145-482643319-2788375705-1540778122   EventLog
S-1-5-80-3864825158-175547187-713465520-1238131867-1407735089   ExecutionContext
S-1-5-80-1314638815-3435960472-2727226528-1675998635-1902597435 FileCrypt
S-1-5-80-3915894004-2104103821-3047269622-1811662266-774708259  FrameServer
S-1-5-80-2736834059-149274525-2748960781-3866326010-3340841336  FrameServerMonitor
S-1-5-80-3181391832-1165339916-824804796-1846270512-1987055954  gencounter
S-1-5-80-4137420670-1714900858-4048147207-1486404520-2727663781 genericusbfn
S-1-5-80-1046530328-3566517495-1042729097-2354917963-3581456130 GenPass
S-1-5-80-3892015463-3880225558-716464106-2623782912-3537878324  GPIOClx0101
S-1-5-80-1517824832-3405227061-4234718464-3265367437-2784406453 GraphicsPerfSvc
S-1-5-80-1708301557-710215499-1045718168-382692165-3542596111   HdAudAddService
S-1-5-80-1632474125-2303985310-1465129739-461431387-3339616311  hidi2c
S-1-5-80-595487790-2902857704-1637225563-1046489922-3656573765  hidinterrupt
S-1-5-80-3338532743-2167017084-2688270890-3351665506-1257551220 hidspi
S-1-5-80-1719015189-3315677607-1183922097-2977244840-2988189987 HidSpiCx
S-1-5-80-3848483535-1128548347-2131889678-2744116662-400837106  Hsp
S-1-5-80-2718569444-1738374061-3304332439-3451140840-1824115491 hvcrash
S-1-5-80-44780642-2200031541-2427509763-915290973-996987375     HvHost
S-1-5-80-2939390288-356272421-3595829934-3436785230-198171780   hvservice
S-1-5-80-2274115272-1034313707-3787864051-261592831-2149061657  HwNClx0101
S-1-5-80-1636647319-4072889561-245816251-3892323420-125393640   hyperkbd
S-1-5-80-1568740187-908130129-1280451789-1901112753-2221687382  HyperVideo
S-1-5-80-2670277838-3947594761-3239889572-3393358898-1622853222 iagpio
S-1-5-80-2158641323-386083531-4194214369-34619318-3813434458    iai2c
S-1-5-80-1751987400-2816258287-31600907-3962047115-1737274117   iaLPSS2i_GPIO2
S-1-5-80-1111475540-466917029-2679550370-2578483454-692614412   iaLPSS2i_GPIO2_BXT_P
S-1-5-80-1739240851-3621344408-1713079411-1646377490-2636667785 iaLPSS2i_GPIO2_CNL
S-1-5-80-2673509282-3250608688-4161211656-2193043397-2070765280 iaLPSS2i_GPIO2_GLK
S-1-5-80-2560230824-2699639875-2946887507-2809778676-469529665  iaLPSS2i_I2C
S-1-5-80-12980661-1673373748-4127468638-2895847452-4070398594   iaLPSS2i_I2C_BXT_P
S-1-5-80-2145177943-2751001835-2841195933-1950876073-3621000904 iaLPSS2i_I2C_CNL
S-1-5-80-780176066-3721089017-3511631931-2580781662-523231243   iaLPSS2i_I2C_GLK
S-1-5-80-1532184652-4035834151-1950529856-1922329247-3348818483 iaLPSSi_GPIO
S-1-5-80-730113209-3859422966-2743155648-3421359225-3886647409  iaLPSSi_I2C
S-1-5-80-3323158773-131258738-3057376072-3701579410-1953672022  iaStorAV
S-1-5-80-2020084033-1359107645-3278428846-795142582-1815602196  iaStorAVC
S-1-5-80-3391758085-3386442682-1652486205-1841141806-1992729197 ibbus
S-1-5-80-3935728946-315639613-922904133-3250794525-491832002    icssvc
S-1-5-80-2392126525-1736915593-2210125632-2563158532-2616938475 IndirectKmd
S-1-5-80-2284069148-621670086-2606570695-3321162879-2563206788  InstallService
S-1-5-80-3327892994-1960904528-3982671949-1654996949-2464229733 intelpep
S-1-5-80-1900340034-3449890540-182776197-3466871519-875942235   intelpmax
S-1-5-80-556880088-2116505305-3097205886-501016835-1165833333   IntelPMT
S-1-5-80-3964494243-732302783-2234246214-3803256551-723791621   iorate
S-1-5-80-1954766798-2967939946-3605743322-553214224-2296400261  IPT
S-1-5-80-2355113075-3359631449-3346493237-3667020425-1655874352 IpxlatCfgSvc
S-1-5-80-3226934113-1398865432-993897477-3177498405-3382167683  ItSas35i
S-1-5-80-3259256391-2062281552-2760088217-2036154821-929260581  KslD
S-1-5-80-2876499719-392125430-158013367-819050375-2387260967    ksthunk
S-1-5-80-2168654060-3115992504-1782388893-2584760693-2634250426 LicenseManager
S-1-5-80-828721388-3792639465-1596558500-741975338-1843353865   LSI_SAS2i
S-1-5-80-1292554068-3641467945-3524739894-1349342977-636852090  LSI_SAS3i
S-1-5-80-1230977110-1477712667-2747199032-477530733-939374687   LSM
S-1-5-80-1594061079-2000966165-462148798-751814865-2644087104   LxpSvc
S-1-5-80-3028837079-3186095147-955107200-3701964851-1150726376  MapsBroker
S-1-5-80-3114654814-2921064011-1905572160-152804539-1417807178  mausbhost
S-1-5-80-1689786627-2800348145-589537150-160302296-3926153891   mausbip
S-1-5-80-482631164-113973055-3624764966-2186786627-2645029274   MbbCx
S-1-5-80-1346060813-323363712-587550660-3142329655-742851739    McpManagementService
S-1-5-80-30551196-2029750602-3680353947-2336859763-523537544    MDCoreSvc
S-1-5-80-1684110676-2342826027-2954792854-2461032557-4007556361 megasas2i
S-1-5-80-2869657570-1778740833-83850822-3186679656-2472655231   megasas35i
S-1-5-80-4024713676-1017792628-381990976-3540878265-1306153904  megasr
S-1-5-80-3999755614-3418583833-1896887384-2999918798-210212794  MessagingService
S-1-5-80-868401603-645966739-4038570837-2259000932-2069601954   MessagingService_42062
S-1-5-80-1290887583-3890804311-3227577290-3287571674-2651233138 Microsoft_Bluetooth_AvrcpTransport
S-1-5-80-1543190384-3367925291-586273452-2558737455-3425399499  MixedRealityOpenXRSvc
S-1-5-80-3755756047-2886117673-2566125725-1838300879-2590056170 mlx4_bus
S-1-5-80-2939227080-1363579226-2249194457-3956041734-887992498  mpi3drvi
S-1-5-80-3088073201-1464728630-1879813800-1107566885-823218052  mpssvc
S-1-5-80-766433145-569980108-2081788762-104033110-3841863914    MsBridge
S-1-5-80-61387632-1770052757-913906803-2764154990-1232092381    MSDTC Bridge 4.0.0.0
S-1-5-80-1709243854-2721926396-509980330-3397245316-2789600492  msgpiowin32
S-1-5-80-2335093085-4288963418-862046716-1348633750-1984735259  mshidumdf
S-1-5-80-2542081156-3563385132-3937647205-2588572414-2394664210 MsLldp
S-1-5-80-2804434951-625509142-572389148-2638030035-2993097285   MsQuic
S-1-5-80-1868534811-1113969215-1254686383-3122237719-2449736172 MsSecFlt
S-1-5-80-4018724706-2388594414-778837249-3759549757-2342992247  mvumis
S-1-5-80-1693791390-661026542-4284378996-1616250691-2477593537  NaturalAuthentication
S-1-5-80-154974075-1852685594-3179713959-2755908004-3936262621  NcaSvc
S-1-5-80-3169048008-2586333165-76651690-3609634147-4147641610   NcbService
S-1-5-80-639065985-1709096039-2702309040-2770678766-2981280942  NcdAutoSetup
S-1-5-80-1929895091-2833432830-2697471735-1135988795-2264472352 ndfltr
S-1-5-80-375564701-3513094222-427343084-2529536460-2480510224   NdisImPlatform
S-1-5-80-1856495872-3151408123-1737732000-490184210-1622466692  NdisVirtualBus
S-1-5-80-3687920589-2211470767-2846922358-2300776228-356028302  ndiswanlegacy
S-1-5-80-2349734666-491695527-3635887682-1699867164-1485827692  NDKPerf
S-1-5-80-1488665879-159185889-877450046-2151251822-3875779066   NDKPing
S-1-5-80-3999445478-1493703614-491198216-2250085872-3662815299  ndproxy
S-1-5-80-1235769596-2241049241-3512080025-3142132805-3400791542 Ndu
S-1-5-80-2475926400-260174619-1668875208-528473860-3272058262   NetAdapterCx
S-1-5-80-2038182892-1846284197-1242326240-2615352543-44767121   NetbiosSmb
S-1-5-80-3290392786-819420393-1694314755-3737624005-3552167228  NetSetupSvc
S-1-5-80-3551186791-2451211144-2320551185-397537932-3221552100  netvsc
S-1-5-80-2645484960-618466758-524374868-821964603-717745035     netvscvfpp
S-1-5-80-2381253463-2694003897-3435975801-3559003598-683041300  NgcCtnrSvc
S-1-5-80-1999281942-4196217620-51267815-1628483199-606183737    NgcSvc
S-1-5-80-905711443-3371636174-4061940598-1564861340-1059327237  NPSMSvc
S-1-5-80-2507448389-234161113-1577513344-1052207716-2414730467  NPSMSvc_42062
S-1-5-80-389868755-419489745-3026704534-2242740522-2006634936   npsvctrig
S-1-5-80-3903180505-3896017075-4285990333-2375284902-1925993444 nvdimm
S-1-5-80-1919166949-1709756749-2243340025-2289818451-613587871  nvmedisk
S-1-5-80-3753458296-2578515382-296172075-2568624853-485985677   OneSyncSvc
S-1-5-80-3793189823-3467931034-1014338368-1148099001-833109781  OneSyncSvc_42062
S-1-5-80-3025660954-2692243113-447425233-79187230-1098358796    P9NP
S-1-5-80-3823668718-2746451370-958628747-2373755566-4249812039  P9Rdr
S-1-5-80-1476201262-1578400209-3000910645-1026845249-3761838783 P9RdrService
S-1-5-80-2255668946-1716303512-4027662774-2063601201-1143301460 P9RdrService_42062
S-1-5-80-3145084533-2700894668-2078824647-1465192519-3266618331 pdc
S-1-5-80-2364473696-137614012-2140040137-4265095802-4147785499  PenService
S-1-5-80-314504729-3751519314-1930556550-315430229-2576099974   PenService_42062
S-1-5-80-4215928932-1248355774-1205732377-1093571376-2379325634 perceptionsimulation
S-1-5-80-1046995410-3007147168-922272172-967041193-3794187727   percsas2i
S-1-5-80-42157666-624349265-169177574-52107575-3728749841       percsas3i
S-1-5-80-3596911058-2952229928-1888671852-1743692427-614402820  PerfHost
S-1-5-80-2636612206-2079418197-1004231589-1812192203-4197254245 PhoneSvc
S-1-5-80-2428418161-1754247685-758903264-2475084861-4167363882  PimIndexMaintenanceSvc
S-1-5-80-3335674401-634599585-1508524933-2046573350-4142904486  PimIndexMaintenanceSvc_42062
S-1-5-80-2785576034-242416339-385417889-2054053173-3638954698   PktMon
S-1-5-80-3355885494-318102177-1313724702-1621550881-803011355   pmem
S-1-5-80-3239442711-4074742016-684152919-2253013163-2274039561  PNPMEM
S-1-5-80-3082810783-1413926421-1831856127-837733229-953361461   portcfg
S-1-5-80-1250897762-2760119941-576021590-2872322938-624617480   PrintNotify
S-1-5-80-3011530997-228986608-3623458339-2361303491-1043592577  PrintWorkflowUserSvc
S-1-5-80-378327997-3295900389-3939635934-794652928-3807377731   PrintWorkflowUserSvc_42062
S-1-5-80-899725383-4005866254-1064011159-4162440066-3937639882  PRM
S-1-5-80-2949785411-1458004381-4011503523-1439849274-3428788682 PushToInstall
S-1-5-80-4140651625-3639548472-620542947-2793188189-2183777611  pvscsi
S-1-5-80-1681795462-3431334705-92433549-1962541325-160118133    Ramdisk
S-1-5-80-2223301817-4248418169-3249847036-321434835-1272792247  RDMANDK
S-1-5-80-1934309797-2043993622-339923705-3871978825-766431271   RDPUDD
S-1-5-80-3072462152-34466603-861212222-1753422877-4071721522    RdpVideoMiniport
S-1-5-80-1596569074-2677311441-962104887-2749517281-2857086053  ReFS
S-1-5-80-2316697869-4025289487-468236631-2575080373-2608813053  ReFSv1
S-1-5-80-457603595-166122335-4119162879-888033224-3685571132    RetailDemo
S-1-5-80-2932307366-730193993-4255125875-3321969383-2534286350  RFCOMM
S-1-5-80-3216188369-3897538938-543323431-4144952942-4182718943  rhproxy
S-1-5-80-3765985997-1043742756-2756022526-3497566756-2081646175 RmSvc
S-1-5-80-3929745324-4064695292-2650311918-97546640-3190848433   RoutePolicy
S-1-5-80-3993802144-2555107232-3516638766-2735499450-3275915967 ScDeviceEnum
S-1-5-80-739156932-4202345562-1098723576-2529635932-2179704457  scmbus
S-1-5-80-3730768523-2660761635-2080149804-588026050-2891317352  sdbus
S-1-5-80-2993119251-3416827737-2039089254-2988278179-172925588  SDFRd
S-1-5-80-106427005-851153787-2361826242-1841078065-3276170637   sdstor
S-1-5-80-259296475-4084429506-1152984619-38739575-565535606     SecurityHealthService
S-1-5-80-2226967063-754826275-1661302337-2802353169-2369347280  SEMgrSvc
S-1-5-80-1523878533-411328482-2798077809-3098663872-2604013308  Sense
S-1-5-80-3835358604-2805616403-1686431098-2148037164-3679743528 SensorDataService
S-1-5-80-869152694-422618349-3448047118-1397179936-2828741493   SensorService
S-1-5-80-3391662211-1836087953-1525834830-1506885508-682969218  SerCx
S-1-5-80-3290564682-3359114709-1529561987-4148060287-271116923  SerCx2
S-1-5-80-1582054788-470990004-40152839-730814383-1124151202     SgrmAgent
S-1-5-80-3706850399-3459138796-2835936764-562029542-397710147   SgrmBroker
S-1-5-80-3246321066-2451215914-3422911474-2201726393-166328789  SharedRealitySvc
S-1-5-80-4106268995-3617844033-680706512-3896918354-2380077472  shpamsvc
S-1-5-80-3842628764-1253170212-1172882037-4289227758-4267631040 SmartSAMD
S-1-5-80-1821507682-1115666477-1591553307-1734210999-3312719974 smbdirect
S-1-5-80-2950457502-2299174248-3328245479-1326271200-3113355612 SmsRouter
S-1-5-80-217413056-3833387362-178569430-1954288181-1272411947   SMSvcHost 4.0.0.0
S-1-5-80-3964583643-2633443559-2834438935-3739664028-1580655619 SNMPTrap
S-1-5-80-664203522-3160570195-1635065499-2708521076-3299712393  SpatialGraphFilter
S-1-5-80-3979690135-2752926531-2282419748-2415739691-1066856619 SpbCx
S-1-5-80-2731152606-4244467407-1946816704-3721569673-479255522  spectrum
S-1-5-80-2277354432-2697620045-1656008878-1855416240-261295475  ssh-agent
S-1-5-80-3847866527-469524349-687026318-516638107-1125189541    sshd
S-1-5-80-4118144674-975173503-976751360-2062754009-4288402176   StateRepository
S-1-5-80-341174513-3036333638-3617001766-2776055326-2809179524  storahci
S-1-5-80-4243609067-2923323804-3669886039-3498181113-4202203050 stornvme
S-1-5-80-2198686546-2221861197-1858316108-2015056224-400908585  storqosflt
S-1-5-80-2019411066-3003329723-2609168412-3625837524-2221108837 storufs
S-1-5-80-2483706823-3321877870-553300257-593996131-450212729    svsvc
S-1-5-80-1662832393-3268938575-4001313665-1200257238-783911988  SystemEventsBroker
S-1-5-80-842221325-3630721446-2015653073-424833842-1069621030   Tcpip6
S-1-5-80-3141112300-3466319987-880208219-2791244925-2953947883  terminpt
S-1-5-80-1569767499-1044542396-1260780493-218930462-4138269783  TextInputManagementService
S-1-5-80-410965207-2550896871-1717734767-2321332215-3755966139  TimeBrokerSvc
S-1-5-80-4077216321-3151206942-641340059-4241647091-1300899357  TokenBroker
S-1-5-80-325036955-4200148024-1479951852-2634116931-2865895459  TPM
S-1-5-80-1139522462-2689595747-457373284-4037083511-4201549542  TroubleshootingSvc
S-1-5-80-3547539953-1452514991-991928397-2821742631-2888215071  TsUsbFlt
S-1-5-80-651631395-3385332028-373277408-2457879084-1955742111   TsUsbGD
S-1-5-80-2292203918-1506848946-3955473809-4024494573-4108135173 tsusbhub
S-1-5-80-3641914668-2724251012-1186334157-2460844255-322272688  tzautoupdate
S-1-5-80-3033002672-3264167506-3374793840-2611327823-1324250788 UASPStor
S-1-5-80-3559279508-480464440-2060053639-2450836018-584673110   UcmCx0101
S-1-5-80-986347966-4291837576-3105858776-4112886612-1615276934  UcmTcpciCx0101
S-1-5-80-2946873420-2809826944-3342656785-1798640712-1793966795 UcmUcsiAcpiClient
S-1-5-80-3947455493-1779752151-1865639843-1092346862-2012747891 UcmUcsiCx0101
S-1-5-80-3476958810-2644384738-2655413726-1639285643-1444265662 Ucx01000
S-1-5-80-227846823-3077342265-3698762170-815164292-2633305508   UdeCx
S-1-5-80-2008930627-2960539461-4086452603-1305618659-1299222103 UdkUserSvc
S-1-5-80-2008239327-435778158-1794843164-145802909-1443708746   UdkUserSvc_42062
S-1-5-80-259741192-1658403178-390766877-3226735796-603445823    UEFI
S-1-5-80-1983721769-1446015346-1638820087-833790554-4117195697  Ufx01000
S-1-5-80-2486803200-2786917169-1479676890-818817034-2254858114  UfxChipidea
S-1-5-80-3461039289-3711732118-2967254728-2566641523-4135479736 ufxsynopsys
S-1-5-80-951045732-3304998411-4140413591-2375454759-2566081399  UnistoreSvc
S-1-5-80-1270786778-4017373570-1886272860-245575406-3384201305  UnistoreSvc_42062
S-1-5-80-948646300-214352964-3153699637-3534669071-395810831    UrsChipidea
S-1-5-80-311046983-1549683341-1485789459-3189993376-3259784172  UrsCx01000
S-1-5-80-3858170093-3095794678-3940928812-3402197675-2417274444 UrsSynopsys
S-1-5-80-814349539-780857761-2218509079-2519676353-1401219776   Usb4DeviceRouter
S-1-5-80-1748758207-3293884055-2018226051-2528525903-2635485069 Usb4HostRouter
S-1-5-80-1038357558-2508750332-1127516358-2098882773-1571978916 usbaudio
S-1-5-80-3715696977-77976676-2422196092-1701963391-244329408    usbaudio2
S-1-5-80-2532058633-1854360046-4195713749-973563373-2229526857  USBHUB3
S-1-5-80-322830934-407560818-413383929-2953137197-2859522744    usbser
S-1-5-80-811199202-3756583514-1800339595-8156802-767824446      USBXHCI
S-1-5-80-2995899262-2131376444-1860748247-2210972999-1941275431 UserDataSvc
S-1-5-80-2323411714-4007380654-1560821731-2276527281-2945264436 UserDataSvc_42062
S-1-5-80-2008603874-3981339663-2468433650-2111681540-3858834245 UserManager
S-1-5-80-223807737-1693445485-119162242-1977420160-1403034029   UsoSvc
S-1-5-80-1989757894-211065159-731672622-1783776043-3948168785   VacSvc
S-1-5-80-2231687835-1975921998-2379643093-1123054981-1892632637 VerifierExt
S-1-5-80-2337629457-4082528419-1990172282-783805348-776062068   vhf
S-1-5-80-4056652736-3832535469-1849010726-800110142-2900318757  Vid
S-1-5-80-4005553843-2860153778-2672767370-1614289598-2532660634 VirtualRender
S-1-5-80-3419770058-1088902930-2242902800-2505332296-3985202246 vmgid
S-1-5-80-3074984378-4122987768-2130325677-2031866499-3405430279 vmicguestinterface
S-1-5-80-534935901-3437432317-481271085-1710633381-983106267    vmicheartbeat
S-1-5-80-1877308096-3090306141-3032871208-3115266146-1400827410 vmickvpexchange
S-1-5-80-3076811988-2254870394-2658297454-3934945422-2393138642 vmicrdv
S-1-5-80-3110303136-3426481729-3186938678-1087894076-2178433439 vmicshutdown
S-1-5-80-3098585136-2538892366-1097114017-2832417424-2016953023 vmictimesync
S-1-5-80-235582178-102246843-358262472-4132936818-1867412993    vmicvmsession
S-1-5-80-1752088424-1054500994-3489791022-3310831482-3926524968 vmicvss
S-1-5-80-2476029939-3227366791-4018265514-4032530291-4172793725 volume
S-1-5-80-1770745653-882454895-2389083440-3735684190-802018898   vpci
S-1-5-80-1072045427-3277916734-2175442256-760694638-1728218837  VSTXRAID
S-1-5-80-3303534547-3920260423-752829696-1552054067-268166277   vwififlt
S-1-5-80-2169053098-454685327-3448947123-3791923320-414336915   WaaSMedicSvc
S-1-5-80-145391760-3682396335-1395736941-2543690743-1822485816  wanarp
S-1-5-80-3957613141-1606606214-622769385-3049525404-2510868034  wanarpv6
S-1-5-80-2145785123-2886438689-3072542501-3020378507-1504386134 WarpJITSvc
S-1-5-80-1468946484-2183346801-2582215073-2203958287-114577455  wcifs
S-1-5-80-4155767994-3874329934-3800885181-2130851812-726865888  Wcmsvc
S-1-5-80-3188579509-896559776-1549670742-2760322350-3311614235  WdBoot
S-1-5-80-2003142183-3009844670-3971145999-3073937758-3917121208 WdFilter
S-1-5-80-499275411-3916059529-905482537-4117857359-1999665194   wdiwifi
S-1-5-80-2105769960-3462231971-121635667-3410645665-2561607156  WdmCompanionFilter
